WEBER MATERIALS

Project,DrawingCode,Description,ArticleGroup,RecipeCode,PartCode,Amount,Unit,PricePerItem,Discount,GrossPrice,NetPrice,
p1,d1,AANSLUITKLEM TB-35,825-01,8400490611,8796990201,1.00,Stuk,1.1,45.00,1.10,0.61,
p1,d1,AFTAKSET AKS-6 250A,849-04,8400490611,8796990021,1.00,Zakje,26.7,45.00,26.70,14.69,
p1,d1,KAST JB MET TRANSPARANT DEKSEL,841-01,8400490611,8706060001,1.00,Stuk,72.4,45.00,72.40,39.82,
p1,d1,KASTKOPPELING VB 14,849-50,8400490611,8796991911,1.00,Stuk,5.1,45.00,5.10,2.81,
p1,d1,KR.BINNENW.  2K 25-J,846-01,8400490611,8726051001,1.00,Stuk,85.25,45.00,85.25,46.89,
p1,d1,perskabelsch. 25 qmm M 8,990-52,8400490611,9108025001,1.00,Stuk,1.5,45.00,1.50,0.83,
p1,d1,perskabelsch. 50 qmm M 8,990-52,8400490611,9108050001,3.00,Stuk,3.05,45.00,9.15,5.03,
p1,d1,VD kabel 16 qmm grn/geel,990-51,8400490611,9105016101,0.40,Meter,6.8,45.00,2.72,1.50,
p1,d1,VD kabel 25 qmm zwart,990-51,8400490611,9105025001,0.30,Meter,10.2,45.00,3.06,1.68,
p1,d1,VD kabel 50 qmm zwart,990-51,8400490611,9105050001,0.80,Meter,19.3,45.00,15.44,8.49,
p1,d2,AARDLEKAUTOMAAT UFI 2B 16/30,888-02,8400871176,2387251161,6.00,Stuk,124.7,60.00,748.20,299.28,
p1,d2,AARDLEKSCHAKELAAR UFI 4 63/300,888-01,8400861170,2387470631,1.00,Stuk,148.25,60.00,148.25,59.30,
p1,d2,EINDKAP EK-A4,851-12,8400871176,2689100031,2.00,Stuk,1.1,60.00,2.20,0.88,
p1,d2,RAIL VL1+N,L2+N,L3+N/210/10,851-12,8400871176,2686110601,1.00,Lengte,18.6,60.00,18.60,7.44,
p1,d2,VD kabel 10 qmm grn/geel,990-51,8400861170,9105010101,0.45,Meter,4.4,25.00,1.98,1.48,
p1,d2,VD kabel 10 qmm zwart,990-51,8400861170,9105010001,1.05,Meter,4.4,25.00,4.62,3.46,
p1,d3,KASTKOPPELING VB 24,849-50,8400301326,8796991921,1.00,Stuk,5.45,25.00,5.45,4.09,
p1,d3,RAILKOPPELING RKK 5RV/60,849-04,8400301326,8796990181,1.00,Zakje,11.3,25.00,11.30,8.48,
p1,d3,RL.KRACHTVERD.KAST 8RE33S-TH,847-01,8400301326,8726313011,1.00,Stuk,501.05,25.00,501.05,375.79,




OTHER MATERIAL

Project,DrawingCode,Description,ArticleGroup,RecipeCode,PartCode,Amount,Unit,PricePerItem,Discount,GrossPrice,NetPrice,




ADDITIONAL MATERIAL

DrawingCode,MaterialCode,Description,OrderNumber,Amount,Unit,PricePerItem,Discount,NetPrice,
